adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_names
False,/b6ZJZHUdMEFECvGiDpJjlfUWela.jpg,"[28, 12, 878]",284054,en,Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",14.038,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,2018-02-13,Black Panther,False,7.373,22556,"Action, Adventure, Science Fiction"
False,/bQXAqRx2Fgc46uCVWgoPz5L5Dtr.jpg,"[28, 12, 878]",436270,en,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",11.3325,/rCtreCr4xiYEWDQTebybolIh6Xe.jpg,2022-10-19,Black Adam,False,6.864,6550,"Action, Adventure, Science Fiction"
False,/8zLS8p1tRyWFLRFfmgQq0j5WE6z.jpg,"[12, 28, 14]",564,en,The Mummy,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,12.8247,/yhIsVvcUm7QxzLfT6HW2wLf5ajY.jpg,1999-04-16,The Mummy,False,6.942,9327,"Adventure, Action, Fantasy"
False,/rfkIeCaIHhN3K5wjJJqKmfUjYp8.jpg,"[18, 36]",381284,en,Hidden Figures,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",12.1223,/9lfz2W2uGjyow3am00rsPJ8iOyq.jpg,2016-12-10,Hidden Figures,False,8.055,9951,"Drama, History"
False,/5En0fmDagt3Pk8d7P3uTwfeQceg.jpg,"[18, 36]",490132,en,Green Book,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",12.8073,/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,2018-11-16,Green Book,False,8.232,12005,"Drama, History"
False,/k2ZdjMXmqnw4RJeh8cwxCvcznJZ.jpg,[18],50014,en,The Help,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",9.4121,/3kmfoWWEc9Vtyuaf9v5VipRgdjx.jpg,2011-08-09,The Help,False,8.208,8546,Drama
False,/9LSsSPbP715XT9B7acIZzantPyX.jpg,[18],73,en,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",7.8903,/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,1998-07-01,American History X,False,8.337,11865,Drama
False,/2reDfi3bl3givTawULOVvjEF1rR.jpg,"[10752, 18, 10749]",426618,en,Where Hands Touch,"Germany, 1944. Leyna, the 15-year old daughter of a white German mother and a black African father, meets Lutz, a compassionate member of the Hitler Youth whose father is a prominent Nazi soldier, and they form an unlikely connection in this quickly changing world.",1.5833,/omKzydOrom9kpdfQUE0G9Y9sPl0.jpg,2018-09-14,Where Hands Touch,False,7.913,520,"War, Drama, Romance"
False,/rhMpAPvoy1beXd8gA6CvYoCSztj.jpg,"[18, 36]",873,en,The Color Purple,"An epic tale spanning forty years in the life of Celie, an African-American woman living in the South who survives incredible abuse and bigotry. After Celie's abusive father marries her off to the equally debasing 'Mister' Albert Johnson, things go from bad to worse, leaving Celie to find companionship anywhere she can. She perseveres, holding on to her dream of one day being reunited with her sister in Africa.",3.5717,/6bvxkcTAXyqxGRwo38mxw92D6Xr.jpg,1985-12-18,The Color Purple,False,7.751,1842,"Drama, History"
False,/v4YV4ne1nwNni35iz4WmpZRZpCD.jpg,"[28, 18, 36]",724495,en,The Woman King,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",7.0302,/438QXt1E3WJWb3PqNniK0tAE5c1.jpg,2022-09-16,The Woman King,False,7.671,2163,"Action, Drama, History"
