adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_names
False,/2Nti3gYAX513wvhp8IiLL6ZDyOm.jpg,"[10751, 35, 12, 14]",950387,en,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",943.1246,/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg,2025-03-31,A Minecraft Movie,False,6.53,1234,"Family, Comedy, Adventure, Fantasy"
False,/j0NUh5irX7q2jIRtbLo8TZyRn6y.jpg,"[27, 9648]",574475,en,Final Destination Bloodlines,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",491.2483,/6WxhEvFsauuACfv8HyoVX6mZKFj.jpg,2025-05-09,Final Destination Bloodlines,False,7.304,204,"Horror, Mystery"
False,/tyfO9jHgkhypUFizRVYD0bytPjP.jpg,"[10751, 14]",447273,en,Snow White,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.",426.4667,/oLxWocqheC8XbXbxqJ3x422j9PW.jpg,2025-03-12,Snow White,False,4.347,851,"Family, Fantasy"
False,/cJvUJEEQ86LSjl4gFLkYpdCJC96.jpg,"[10752, 28]",1241436,en,Warfare,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",377.8279,/srj9rYrjefyWqkLc6l2xjTGeBGO.jpg,2025-04-09,Warfare,False,7.14,350,"War, Action"
False,/fTrQsdMS2MUw00RnzH0r3JWHhts.jpg,"[28, 80, 53]",1197306,en,A Working Man,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",382.5636,/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg,2025-03-26,A Working Man,False,6.544,789,"Action, Crime, Thriller"
False,/jRvhP4AfFnJ03lCQhp1fie7XPSd.jpg,"[28, 53]",977294,en,Tin Soldier,"An ex-special forces operative seeks revenge against a cult leader who has corrupted his former comrades, the Shinjas. This leader, known as The Bokushi, promises veterans a purpose and protection, but is revealed to be a destructive influence. The ex-soldier, Nash Cavanaugh, joins forces with military operative Emmanuel Ashburn to infiltrate the Bokushi's fortress and expose his reign of terror",303.8808,/lFFDrFLXywFhy6khHes1LCFVMsL.jpg,2025-05-22,Tin Soldier,False,5.6,18,"Action, Thriller"
False,,"[28, 53]",1480799,pt,The Great Escape,,345.5976,/h7shL668vhC2wsZQSBWzxkMuZ8K.jpg,2023-05-26,The Great Escape,False,0.0,0,"Action, Thriller"
False,/bIh56F8e5EaZ3r2nD1hXAOisItZ.jpg,"[12, 10751]",1094473,fr,"Bambi, l'histoire d'une vie dans les bois","The life of Bambi, a male roe deer, from his birth through childhood, the loss of his mother, the finding of a mate, the lessons he learns from his father, and the experience he gains about the dangers posed by human hunters in the forest.",275.4604,/vWNVHtwOhcoOEUSrY1iHRGbgH8O.jpg,2024-10-16,Bambi: A Life in the Woods,False,6.1,17,"Adventure, Family"
False,/rthMuZfFv4fqEU4JVbgSW9wQ8rs.jpg,"[28, 878, 12]",986056,en,Thunderbolts*,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",218.3746,/m9EtP1Yrzv6v7dMaC9mRaGhd1um.jpg,2025-04-30,Thunderbolts*,False,7.5,902,"Action, Science Fiction, Adventure"
False,/4A5HH9HkCPqAwyYL6CnA0mxbYjn.jpg,"[28, 80, 53, 18]",1144430,fr,Balle perdue 3,Car genius Lino returns to conclude his vendetta against Areski and the corrupt commander who ruined their lives in this turbo-charged trilogy finale.,207.6736,/qycPITRqXgPai7zj1gKffjCdSB5.jpg,2025-05-06,Last Bullet,False,6.77,115,"Action, Crime, Thriller, Drama"
