genre_ids,id,original_title,overview,popularity,release_date,title,vote_average,vote_count,genre_names,release_year
"[10751, 35, 12, 14]",950387,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",943.1246,2025-03-31,A Minecraft Movie,6.53,1234,"Family, Comedy, Adventure, Fantasy",2025
"[27, 9648]",574475,Final Destination Bloodlines,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",491.2483,2025-05-09,Final Destination Bloodlines,7.304,204,"Horror, Mystery",2025
"[10751, 14]",447273,Snow White,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.",426.4667,2025-03-12,Snow White,4.347,851,"Family, Fantasy",2025
"[10752, 28]",1241436,Warfare,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",377.8279,2025-04-09,Warfare,7.14,350,"War, Action",2025
"[28, 80, 53]",1197306,A Working Man,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",382.5636,2025-03-26,A Working Man,6.544,789,"Action, Crime, Thriller",2025
"[28, 53]",977294,Tin Soldier,"An ex-special forces operative seeks revenge against a cult leader who has corrupted his former comrades, the Shinjas. This leader, known as The Bokushi, promises veterans a purpose and protection, but is revealed to be a destructive influence. The ex-soldier, Nash Cavanaugh, joins forces with military operative Emmanuel Ashburn to infiltrate the Bokushi's fortress and expose his reign of terror",303.8808,2025-05-22,Tin Soldier,5.6,18,"Action, Thriller",2025
"[28, 53]",1480799,The Great Escape,Not Available,345.5976,2023-05-26,The Great Escape,0.0,0,"Action, Thriller",2023
"[12, 10751]",1094473,"Bambi, l'histoire d'une vie dans les bois","The life of Bambi, a male roe deer, from his birth through childhood, the loss of his mother, the finding of a mate, the lessons he learns from his father, and the experience he gains about the dangers posed by human hunters in the forest.",275.4604,2024-10-16,Bambi: A Life in the Woods,6.1,17,"Adventure, Family",2024
"[28, 878, 12]",986056,Thunderbolts*,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",218.3746,2025-04-30,Thunderbolts*,7.5,902,"Action, Science Fiction, Adventure",2025
"[28, 80, 53, 18]",1144430,Balle perdue 3,Car genius Lino returns to conclude his vendetta against Areski and the corrupt commander who ruined their lives in this turbo-charged trilogy finale.,207.6736,2025-05-06,Last Bullet,6.77,115,"Action, Crime, Thriller, Drama",2025
"[27, 18]",1359977,Conjuring the Cult,"After discovering his blood-soaked daughter dead in the bathtub, David Bryson attends a self-help group to help save him from his ghostly nightmares. But when a group of mysterious cult-like women offer to help him resurrect his daughter. David's choices will not just decide his fate... but the fate of his dead daughter's SOUL.",204.1793,2024-10-01,Conjuring the Cult,5.727,22,"Horror, Drama",2024
"[28, 18, 35]",897160,용감한 시민,"An expelled boxing champion, who now is a high-school teacher, witnesses intolerable violence and throws her first punch to build justice against it, while putting on a mask.",198.4611,2023-10-25,Brave Citizen,7.053,38,"Action, Drama, Comedy",2023
"[53, 28]",1233069,Exterritorial,"When her son vanishes inside a US consulate, ex-special forces soldier Sara does everything in her power to find him — and uncovers a dark conspiracy.",198.3149,2025-04-29,Exterritorial,6.655,348,"Thriller, Action",2025
"[28, 12, 53]",575265,Mission: Impossible - The Final Reckoning,"Ethan Hunt and the IMF team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Ethan's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",187.4051,2025-05-17,Mission: Impossible - The Final Reckoning,7.6,58,"Action, Adventure, Thriller",2025
"[28, 53, 878]",822119,Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",157.3116,2025-02-12,Captain America: Brave New World,6.121,1857,"Action, Thriller, Science Fiction",2025
"[28, 14, 12]",324544,In the Lost Lands,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.",154.464,2025-02-27,In the Lost Lands,6.342,374,"Action, Fantasy, Adventure",2025
"[27, 53]",1092073,The Haunting at Saint Joseph's,"An engaged Muslim doctor, her fiancé, and their friends go on a holiday at St. Joseph’s Guesthouse, unaware that it was the site of a sacrifice of an innocent centuries before. They soon come to believe that it's haunted and causing them to go crazy, as their emotions spiral out of control.",176.7555,2023-02-26,The Haunting at Saint Joseph's,4.444,9,"Horror, Thriller",2023
[37],710258,Rust,"Infamous outlaw Harland Rust breaks his estranged grandson Lucas out of prison, after Lucas is convicted to hang for an accidental murder. The two must outrun legendary U.S Marshal Wood Helm and bounty hunter Fenton ""Preacher"" Lang who are hot on their tails. Deeply buried secrets rise from the ashes and an unexpected familial bond begins to form as the mismatched duo tries to survive the merciless American Frontier.",146.5969,2025-05-01,Rust,6.38,50,Western,2025
[27],1260820,Stream,"Craven, a streamer with thousands of followers on a live streaming platform, has prepared a very special stream for Halloween. What no one expects when reacting to a video of Pentagram, a group of young paranormal investigators, is that the live experience will turn into the worst night of their lives. And maybe... the last.",121.6356,2024-02-06,Stream,6.313,16,Horror,2024
"[27, 53]",1233413,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",131.2116,2025-04-16,Sinners,7.566,722,"Horror, Thriller",2025
"[28, 80, 53]",668489,Havoc,"When a drug heist swerves lethally out of control, a jaded cop fights his way through a corrupt city's criminal underworld to save a politician's son.",120.0599,2025-04-25,Havoc,6.503,644,"Action, Crime, Thriller",2025
"[35, 10749]",1403735,లైలా,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",117.5461,2025-02-14,Laila,5.0,3,"Comedy, Romance",2025
"[27, 14, 35, 12, 878]",1153714,Death of a Unicorn,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.",112.8786,2025-03-27,Death of a Unicorn,6.502,224,"Horror, Fantasy, Comedy, Adventure, Science Fiction",2025
"[53, 878, 27]",1180763,From the Shadows,"When Dr. Joseph Cawl and members of his Hidden Wisdom cult die in a mysterious fire, survivors contact a paranormal expert to find the truth. What they discover makes them the next target of a deranged killer.",136.9877,2023-09-22,From the Shadows,3.1,4,"Thriller, Science Fiction, Horror",2023
